adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,"[878, 12, 28]",447365,en,Guardians of the Galaxy Vol. 3,影迷私心最愛的全宇宙最無厘頭組合「星際異攻隊」正式重返大銀幕！但這次的團隊氛圍變得有點不一樣，仍未忘懷失去心愛葛摩菈傷痛的「星爵」彼得，必須再度團結身邊的全體隊員守護宇宙，並且擔起保護其中一員的關鍵任務，若稍有不慎，就可能導致星際異攻隊走向全軍覆沒的窮途末路！,17.7192,/3JQbthSO6tuVt1VwjvVJqrc1oPo.jpg,2023-05-03,星際異攻隊3,False,7.924,8184
False,/wa0UGYppc6uWOdVow4Ko2CG4jk9.jpg,"[80, 27, 53]",73861,sr,Srpski film,《一部塞爾維亞電影》（塞爾維亞語：Српски филм，英語：A Serbian Film）是一部於2010年上映的塞爾維亞色情恐怖片，亦是斯爾詹·斯帕索耶維奇導演的首部作品。它講述一名色情演員同意參演一部「藝術電影」，結果發現參與了這部影片充斥著兒童色情及戀屍癖的內容。影片中充斥著的強姦、戀屍、戀童的鏡頭引發了廣泛關注。,15.8622,/qT312t40YmlOSsOXOoOLDCvRbPx.jpg,2010-01-06,一部塞爾維亞電影,False,5.4,2193
False,/raph7qjAGTMXaIjVxt6ZDSXRzUr.jpg,"[28, 878, 12]",786892,en,Furiosa: A Mad Max Saga,隨著文明世界的崩解，年輕的芙莉歐莎從原本的家園眾母綠地被掠走，落入軍閥狄門特斯領導的重機幫派手中。在穿過荒原時，他們來到不死老喬所掌管的城堡。在兩位暴君爭奪統治地位的同時，芙莉歐莎必須在重重考驗中存活下來，並運用各種手段找到回家的路。,17.6796,/5wjXP8HivlQ10BZ3A4d5OMWl4RS.jpg,2024-05-22,芙莉歐莎：瘋狂麥斯傳奇篇章,False,7.451,4780
False,/tC78Pck2YCsUAtEdZwuHYUFYtOj.jpg,"[28, 53, 80]",926393,en,The Equalizer 3,羅伯特麥考（丹佐華盛頓飾）自從放棄作為政府殺手的生活後，一直在努力釋懷過去所做的壞事，並在替壓迫者伸張正義中找到慰藉。他意外在義大利南部找到歸屬，但也發現新朋友們受到當地黑幫老大的控制。隨著事件變得危險，麥考知道自已必須採取行動：成為朋友們的保護者，並大膽挑戰黑手黨。,18.3861,/9dyX0lTs5s378uDwVGhPgGJA9zz.jpg,2023-08-30,私刑教育3,False,7.291,3651
False,/4MCKNAc6AbWjEsM2h9Xc29owo4z.jpg,"[28, 80, 53]",866398,en,The Beekeeper,在摯友因遭詐騙而自殺身亡後，一名過去成謎的男子克雷滿腔怒火地對詐騙集團展開激烈的復仇。然而，當人們發現克雷曾是祕密組織「蜂刑者」的成員時，復仇不再只是他的私人恩怨，更是一場動搖國本的殺戮行動……。,18.139,/wesgJMppQUVhdd4qtsh6ed8zkHF.jpg,2024-01-08,蜂刑者,False,7.241,4122
False,/8GnWDLn2AhnmkQ7hlQ9NJUYobSS.jpg,"[878, 28]",695721,en,The Hunger Games: The Ballad of Songbirds & Snakes,8 歲的史諾（湯姆布萊斯 飾）將擔任第十屆飢餓遊戲的導師，期待能透過指導貢品贏得比賽，振興落魄的家族，不料他抽中的貢品是一名來自施惠國最窮困十二區的個性古怪女孩露西（瑞秋曾格勒 飾），兩人最後能夠順利在飢餓遊戲中勝出嗎？,15.9678,/iIZpbqWz6rtPZfZhukzKbz8qSTH.jpg,2023-11-15,飢餓遊戲：鳴鳥與游蛇之歌,False,7.0,3459
False,/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg,"[28, 878, 12]",986056,en,Thunderbolts*,雷霆特攻隊集合了一群由反英雄人物所組成的非正規團隊，成員包括葉蓮娜畢洛娃、巴奇巴恩斯、紅色衛兵、幽靈、模仿大帥和約翰沃克。發現自己陷入瓦倫蒂娜德芳亭設下的死亡陷阱後，這些心存幻滅的邊緣人必須展開一個危險的任務。這支雜牌軍被迫面對自己最黑暗的過往，他們是會分裂？還是可以得到救贖，在為時已晚之前團結起來？,17.0381,/lmiHB63P5YDqRIzOdiQWpU3qLBq.jpg,2025-04-30,雷霆特攻隊＊,False,7.293,3391
False,/i7AeVOx2Nc03sTcO6e39bwfPBwd.jpg,[10749],1231914,ko,여직원들 : 직장 연애사 3,,16.698,/c4HACOcvKsWAaNTsyYs1JzfwXWi.jpg,2023-11-25,여직원들 : 직장 연애사 3,False,4.0,1
False,/9UAcMhSCDJ2OCo5QdPpSERjhMA1.jpg,"[18, 36]",1396,ru,Зеркало,本片是導演安德烈·塔科夫斯基（Andrei Tarkovsky）的一部自傳體電影。幼年的塔科夫斯基隨著母親（Margarita Terekhova 飾）去親戚家借錢，他獨自在一個陌生的房間裡發現了一面鏡子，並通過鏡子審視自己，在巴赫的音樂中，塔可夫斯基的回憶慢慢帶出了一系列的事件：電視上在播報一個口吃的年輕人通過催眠治痊了自己；一個被家庭忽視的妻子遇上一位迷路的鄉村醫生，兩人之間產生若即若離的關係；一個未曾露面的敘述者與前妻在爭吵；一個早熟的年輕人備受軍事指導員的呵責。這些毫無關聯的片段式回憶通過鏡子串聯起來，展現了導演對時間、歷史、生活、土地、夢境等意象的哲學思考。　　導演的母親在影片中扮演藝術家的母親；他的父親，一位著名的俄羅斯詩人，在畫外音中朗讀自己的詩作。,15.2633,/hLzhdirfOApuoXoS8SnGNotu1bf.jpg,1975-03-07,鏡子,False,7.954,1082
False,/rvtdN5XkWAfGX6xDuPL6yYS2seK.jpg,"[80, 9648, 53]",414906,en,The Batman,布魯斯韋恩雖然是高譚市首富家族的繼承者，性格卻非常孤僻，同時在夜晚化身為蝙蝠俠打擊罪犯。當謎天大聖留下新的謎題，設下陷阱殺害高譚市的菁英份子後，蝙蝠俠循著神祕線索，並與貓女聯手為高譚市伸張正義。  兩年來，布魯斯韋恩化身為蝙蝠俠 (羅伯派汀森 飾) 在街頭剷惡鋤奸，逐漸在罪犯腦中植入恐懼的種子，並在其他市民心中建立了復仇使者的形象，與此同時卻也讓自己牽扯進高譚市的陰暗面中。他在高譚市貪汙腐敗的政府官員和名人之中，也只有少數可以信任的盟友，盟友包含阿福潘尼沃斯 (安迪瑟克斯 飾) 及詹姆斯高登 (傑佛瑞萊特 飾)。  當一名兇手透過一連串殘忍的陰謀詭計，虐殺高譚市許多菁英份子後，蝙蝠俠這位世上最偉大的偵探依循著神祕線索，展開對地下社會的調查行動，並遇見塞琳娜凱爾/別名貓女 (柔伊克拉維茲 飾)、奧斯華科波特/別名企鵝人 (柯林法洛 飾)、卡麥法爾康尼 (約翰特托羅 飾)，以及愛德華納許頓/別名謎天大聖 (保羅迪諾 飾) 等人。當證據顯示兇手越來越接近，其計畫也越來越明朗，蝙蝠俠必須建立好新的關係，揭露兇手的真面目，並為長久以來發生貪腐弊端的高譚市伸張正義。,22.0246,/lwWl8CwHyHj6KkDOfhJOpp6xTn3.jpg,2022-03-01,蝙蝠俠,False,7.7,11791
False,/xyXmtuvsoM5J3yNad0nvcetpBdY.jpg,"[12, 14, 28]",49051,en,The Hobbit: An Unexpected Journey,哈比人比爾博巴金斯過著安逸生活，忽然某天巫師甘道夫造訪，找他加入由伊魯伯王國王子索林橡木盾所率領的十三名矮人遠征軍，為了從巨龍史矛革的魔爪中拯救出失落的孤山矮人王國。當他們進入兇險未卜的荒野時，並遭逢哥布林和半獸人群集潛伏的險惡之地、致命座狼及魔法師。雖然一路上歷經了各種危險，卻多次化險為夷。  巴金斯在一座地下湖泊遇見了從此改變他人生的小怪物咕嚕，一個兼具純真和邪惡性格的怪物，更意外獲得咕嚕的寶貝「魔戒」，他發現這個簡單的金戒擁有意想不到力量，更將影響著整個中土的命運。,18.1548,/lUYg2q4sWwk7iWSHYUFoQ8a8K0n.jpg,2012-12-12,哈比人：意外旅程,False,7.37,19515
False,/AmR3JG1VQVxU8TfAvljUhfSFUOx.jpg,"[27, 878]",348,en,Alien,這是影史上的一部經典科幻片，並且獲得奧斯卡最佳視覺效果獎。雪歌妮薇佛份演硬朗女長官蕾普莉，她和下屬乘坐商用太空船，在不知名的星球探險，下屬回到船上才發現一頭嗜血怪物上了船，從此無寧日，恐怖事件接二連三登場….。,31.5309,/uuGKhdNWrZegCr2cYz7OFXiMzNo.jpg,1979-05-25,異形,False,8.17,16222
